[ 2026-01-24 10:10:08,323 ] 19 root - INFO - Initiate the data ingestion
[ 2026-01-24 10:10:17,293 ] 66 root - INFO - Performed train test split on the dataframe
[ 2026-01-24 10:10:17,293 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-24 10:10:17,293 ] 76 root - INFO - Exporting train and test file path.
[ 2026-01-24 10:10:17,341 ] 85 root - INFO - Exported train and test file path.
[ 2026-01-24 10:10:17,341 ] 21 root - INFO - Data Initiation Completed
[ 2026-01-24 10:10:17,341 ] 26 root - INFO - Initiate the data Validation
[ 2026-01-24 10:10:17,363 ] 32 root - INFO - Required number of columns:2
[ 2026-01-24 10:10:17,363 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-24 10:10:17,363 ] 32 root - INFO - Required number of columns:2
[ 2026-01-24 10:10:17,363 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-24 10:10:17,503 ] 28 root - INFO - data Validation Completed
[ 2026-01-24 10:10:17,503 ] 32 root - INFO - data Transformation started
[ 2026-01-24 10:10:17,503 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-01-24 10:10:17,503 ] 65 root - INFO - Starting data transformation
[ 2026-01-24 10:10:17,526 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-01-24 10:10:17,526 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-24 10:10:17,526 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-24 10:10:17,541 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-24 10:10:17,541 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-24 10:10:17,541 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-24 10:10:17,541 ] 36 root - INFO - data Transformation completed
[ 2026-01-24 10:10:17,541 ] 38 root - INFO - Model Training sstared
[ 2026-01-24 10:13:07,935 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-24 10:13:07,935 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-24 10:13:07,935 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-24 10:13:07,958 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-24 10:13:07,958 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_24_2026_10_10_03\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9908424908424909, precision_score=0.9874264854998986, recall_score=0.9942822136001633), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9760502552021987, precision_score=0.9658119658119658, recall_score=0.9865079365079366))
[ 2026-01-24 10:13:07,958 ] 43 root - INFO - Model Training artifact created
